rank,period,period_err,power,index,freq,thresh
1,0.07670835059148334,2.6722061795964036e-06,890.0349976509845,14252,13.036390331550507,122.0076114067609
2,0.08305682743787016,3.1328012763190416e-06,655.3951475024903,13155,12.039949403895065,129.08568994064768
3,0.08308189930488032,3.1346928503206417e-06,626.0311464650792,13151,12.036316073256392,125.10101187988305
4,0.07668697740937372,2.670717329851524e-06,571.6296338840531,14256,13.040023662189174,128.4215274067263
5,0.08310698631304968,3.1365861380208693e-06,490.3808363757321,13147,12.032682742617721,123.72123673126883
6,0.08312581151381525,3.138007229668005e-06,477.78420220721307,13144,12.029957744638716,117.50379362282264
7,0.09058818791154193,3.726682076335419e-06,460.10421804046007,12053,11.038966812941283,129.67896287589363
8,0.07677789578694254,2.6770535490536207e-06,459.8106212296587,14239,13.024582006974825,82.15226285397345
9,0.08301924799705672,3.12996712400343e-06,434.7622829356592,13161,12.045399399853068,123.71889251509434
10,0.39773058081248885,7.181845085094118e-05,434.5210224098128,2668,2.5142648019601306,186.33924304710015
